lemma	pos	corpus_frequency	spoken_frequency	written_frequency	literature	meb	saha	tubitak	video	class	subclass	num_docs	mps	cd	pmw	zipf	length	sc
a	INTJ	9229	1978	7251	1620	4890	15	741	1963	Emotions & Mental Processes	emotions	1035	16	0.3356031128	1121.738462	6.049938666	1	1
a	NOUN	3990	172	3818	1262	1400	1	1156	171	Emotions & Mental Processes	emotions	412	62	0.1335927367	484.9644019	5.685818693	1	1
aa	INTJ	1638	1332	306	112	45	3	149	1329	Emotions & Mental Processes	emotions	566	4	0.1835278859	199.0906492	5.299315919	2	2
aaa	INTJ	1003	605	398	283	16	1	99	604	Emotions & Mental Processes	emotions	485	9	0.1572632944	121.9095978	5.086470678	3	3
aaah	INTJ	5	3	2	2	0	0	0	3	Emotions & Mental Processes	emotions	5	2	0.001621271077	0.6077248144	2.862888216	4	3
aah	INTJ	1	1	0	0	0	0	0	1	Emotions & Mental Processes	emotions	1	1	0.0003242542153	0.1215449629	2.385766961	3	2
ab	NOUN	225	76	149	71	39	1	39	75	Food & Nutrition	beverages	123	31	0.03988326848	27.34761665	4.438845404	2	1
aba	NOUN	57	10	47	35	5	0	7	10	Personal Care & Consumer Life	clothing	33	15	0.01070038911	6.928062884	3.848164959	3	2
abajur	NOUN	22	4	18	4	14	0	0	4	Personal Care & Consumer Life	accessories	11	5	0.003566796368	2.673989183	3.446464801	6	3
abaka	NOUN	1	0	1	0	0	0	1	0	History, Politics & Religion	historical figures	1	1	0.0003242542153	0.1215449629	2.385766961	5	3
abaküs	NOUN	40	5	35	3	27	0	5	5	Other	other	15	13	0.00486381323	4.861798515	3.697520822	6	3
abamak	VERB	2	1	1	1	0	0	0	1	Other	other	2	2	0.0006485084306	0.2430899258	2.56185822	6	3
Abana	PROPN	2	0	2	2	0	0	0	0	Other	other	1	1	0.0003242542153	0.2430899258	2.56185822	5	3
abanmak	VERB	7	2	5	4	0	0	1	2	Other	other	6	7	0.001945525292	0.8508147402	2.987826952	7	3
abanoz	NOUN	2	0	2	2	0	0	0	0	Nature & Living Things	plants	1	1	0.0003242542153	0.2430899258	2.56185822	6	3
abartmak	VERB	421	257	164	159	3	1	2	256	Other	other	271	80	0.08787289235	51.17042937	4.710049416	8	3
abartı	NOUN	21	17	4	4	0	0	0	17	Personality, Values & Behavior	behavior	21	5	0.006809338521	2.552444221	3.427159646	6	3
abartılı	ADJ	46	19	27	24	3	0	0	19	Personality, Values & Behavior	behavior	40	2	0.01297016861	5.591068293	3.756834823	8	4
abat	ADJ	2	2	0	0	0	0	0	2	Personality, Values & Behavior	behavior	2	1	0.0006485084306	0.2430899258	2.56185822	4	2
Abbas	PROPN	28	2	26	18	6	0	2	2	Other	other	21	6	0.006809338521	3.403258961	3.547134963	5	2
abdal	NOUN	17	0	17	15	0	0	2	0	Emotions & Mental Processes	intelligence and reasoning	6	4	0.001945525292	2.066264369	3.34000947	5	2
abdest	NOUN	159	10	149	96	53	1	0	9	History, Politics & Religion	religion	39	16	0.0126459144	19.3256491	4.288856948	6	2
