word	imagery	concreteness	syllable_count	char_count	tclex_frequency	tclex_normalized	clc_frequency	clc_normalized	tekcan_frequency	overall_aoa_mean	overall_aoa_sd	child_aoa_mean	child_aoa_sd
açlık	4.24	3.68	2	5	278	33.84	353	80.44	54	1.79	0.94	1.77	0.78
adalet	3.08	1.82	3	6	399	48.56	98	22.33	122	3.61	1.99	2.6	1.13
ahşap	5.48	6.42	2	5	431	52.46	184	41.93	111	3.03	1.69	2.33	0.99
aile	5.91	4.78	3	4	5930	721.76	1828	416.58	753	1.69	0.85	1.53	0.6
ajan	4.48	5.6	2	4	305	37.12	23	5.24	11	4.25	2.11	2.89	1.19
akıl	3.3	2.05	2	4	5553	675.87	5680	1294.4	679	2.2	1.22	1.77	0.75
akıllı	3.19	2.41	3	6	1290	157.01	71	16.18	73	2.07	1.15	1.7	0.73
alet	4.61	6.63	2	4	1931	235.03	263	59.93	137	2.33	1.44	1.78	0.82
alıntı	3.7	4.45	3	6	11	1.34	13	2.96	12	4.45	2.2	2.68	1.19
alışkın	2.33	2.34	3	7	131	15.94	84	19.14	10	2.69	1.67	2.09	1.05
alkol	5.87	6.46	2	5	101	12.29	26	5.93	133	3.56	2.04	2.54	0.91
alt	3.71	4.28	1	3	8651	1,052.94	4899	1116.42	1237	2.18	1.33	1.75	0.72
altın	6.3	6.72	2	5	2301	280.06	1648	375.56	168	2.3	1.27	1.91	0.77
anarşist	4.41	5.66	3	8	2	0.24	6	1.38	3	5.42	2.02	4.06	1.77
anne	6.69	5.84	2	4	17619	2,144.47	17954	4091.47	1037	1.18	0.5	1.06	0.24
anten	6.36	6.87	2	5	383	46.62	35	7.98	12	3.16	1.96	2.1	0.91
araba	6.63	6.87	3	5	5070	617.09	3825	871.67	422	1.62	0.96	1.4	0.54
arkadaş	5.85	5.25	3	7	16713	2,034.20	8059	1836.54	764	1.7	0.83	1.67	0.8
arsa	5.74	6.69	2	4	166	20.2	156	35.55	57	2.76	1.75	2.22	0.93
asker	6.5	6.7	2	5	2729	332.16	982	223.78	181	1.95	1.07	1.83	0.7
atık	3.81	6.04	2	4	1529	186.1	84	19.14	49	3.82	2.11	2.5	1.09
atletik	5.3	4.56	3	7	13	1.58	10	2.28	7	3.86	2.08	2.58	1.11
atmosfer	4.19	5.67	3	8	1118	136.08	43	9.8	70	3.97	1.96	3.16	1.34
atom	3.16	4.73	2	4	639	77.77	36	8.2	52	4.6	2.02	3.47	1.38
avare	3.37	3.07	3	5	2	0.24	15	3.42	2	4.63	2.21	3.38	1.58
avuç	6.2	6.63	2	4	517	62.93	814	185.5	71	1.8	0.92	1.71	0.69
ayakkabı	6.44	6.88	4	8	1630	198.39	867	197.58	147	1.61	0.74	1.63	0.67
ayıp	3.06	1.97	2	4	405	49.29	390	88.88	75	1.83	0.91	1.76	0.74
aykırı	2.74	2.15	3	6	78	9.49	68	15.5	50	3.57	2.01	2.64	1.37
ayna	6.41	6.79	2	4	1311	159.57	844	192.34	144	1.75	0.87	1.63	0.69
azim	2.45	1.88	2	4	110	13.39	18	4.1	10	3.43	1.84	2.51	1.1
baba	6.5	5.92	2	4	18827	2,291.50	15182	3459.77	1024	1.2	0.51	1.14	0.35
bacak	6.5	6.86	2	5	1665	202.65	1038	236.55	185	1.56	0.69	1.54	0.67
bağnaz	2.82	2.49	2	6	2	0.24	8	1.82	3	5.44	2.06	3.8	1.87
bahar	5.46	4.94	2	5	712	86.66	536	123.28	74	1.85	0.82	1.72	0.71
