lemma	pos	frequency	source	class	subclass
devam etmek	VERB	4806	meb|saha|tubitak|video|literature	Other	other
yardım etmek	VERB	4056	meb|saha|tubitak|video|literature	Personality, Values & Behavior	helpfulness
yer almak	VERB	3117	meb|saha|tubitak|video|literature	Other	other
teşekkür etmek	VERB	2940	meb|saha|tubitak|video|literature	Other	other
dikkat etmek	VERB	2586	meb|saha|tubitak|video|literature	Other	other
hareket etmek	VERB	2448	meb|saha|tubitak|video|literature	Other	other
takip etmek	VERB	2122	meb|saha|tubitak|video|literature	Other	other
karar vermek	VERB	2104	meb|saha|tubitak|video|literature	Other	other
el etmek	VERB	1994	meb|saha|tubitak|video|literature	Other	other
bir süre	NOUN	1935	meb|saha|tubitak|video|literature	Time, Numbers & Measurement	time
bir daha	NOUN	1928	meb|saha|tubitak|video|literature	Other	other
oyun oynamak	VERB	1907	meb|saha|tubitak|video|literature	Other	other
şu an	NOUN	1874	meb|saha|tubitak|video|literature	Time, Numbers & Measurement	time
tahmin etmek	VERB	1741	meb|tubitak|video|literature	Emotions & Mental Processes	intelligence and reasoning
geri dönmek	VERB	1686	meb|saha|tubitak|video|literature	Other	other
ad vermek	VERB	1669	meb|saha|tubitak|video|literature	Other	other
bu yüzden	NOUN	1666	meb|saha|tubitak|video|literature	Education & Language	grammar
kabul etmek	VERB	1593	meb|saha|tubitak|video|literature	Other	other
hoş geldin / hoş geldiniz	NA	1528	meb|tubitak|video|literature	Sound & Communication Phenomena	sounds
kontrol etmek	VERB	1523	meb|saha|tubitak|video|literature	Other	other
özür dilemek	VERB	1458	meb|saha|tubitak|video|literature	Personality, Values & Behavior	forgiveness
bir yandan	NOUN	1445	saha|meb|video|tubitak|literature	Education & Language	grammar
belki de	NOUN	1443	meb|saha|tubitak|video|literature	Other	other
cevap vermek	VERB	1351	meb|saha|tubitak|video|literature	Other	other
neden olmak	VERB	1346	meb|saha|tubitak|video|literature	Other	other
işe yaramak	VERB	1329	meb|saha|tubitak|video|literature	Other	other
bu aralar	NOUN	1320	saha|meb|video|tubitak|literature	Time, Numbers & Measurement	time
yardımcı olmak	VERB	1319	meb|saha|tubitak|video|literature	Personality, Values & Behavior	helpfulness
her gün	NOUN	1304	meb|saha|tubitak|video|literature	Time, Numbers & Measurement	time
ortaya çıkmak	VERB	1288	meb|saha|tubitak|video|literature	Other	other
sahip olmak	VERB	1257	meb|saha|tubitak|video|literature	Other	other
izin vermek	VERB	1210	meb|saha|tubitak|video|literature	Other	other
yola çıkmak	VERB	1206	meb|saha|tubitak|video|literature	Transportation, Travel & Safety	travel
ses çıkarmak	VERB	1202	saha|meb|video|tubitak|literature	Sound & Communication Phenomena	sounds
uygun olmak	VERB	1150	meb|saha|tubitak|video|literature	Other	other
sakin olmak	VERB	1139	meb|saha|tubitak|video|literature	Personality, Values & Behavior	self discipline
bir sürü	NOUN	1135	meb|saha|tubitak|video|literature	Time, Numbers & Measurement	numbers
zarar vermek	VERB	1072	meb|saha|tubitak|video|literature	Violence & Conflict	violence
bir yana	NOUN	1060	meb|saha|tubitak|video|literature	Other	other
bu sefer	NOUN	1059	meb|saha|tubitak|video|literature	Time, Numbers & Measurement	time
bu arada	NOUN	950	meb|saha|tubitak|video|literature	Education & Language	grammar
anlamına gelmek	VERB	916	meb|saha|tubitak|video|literature	Other	other
mutlu olmak	VERB	900	meb|saha|tubitak|video|literature	Emotions & Mental Processes	emotions
işlem yapmak	VERB	889	saha|meb|video|tubitak|literature	Other	other
gözlem yapmak	VERB	886	tubitak|meb|video|literature	Other	other
dışarı çıkmak	VERB	876	meb|saha|tubitak|video|literature	Other	other
şarkı söylemek	VERB	860	meb|saha|tubitak|video|literature	Arts, Media & Entertainment	music
içeri girmek	VERB	857	meb|saha|tubitak|video|literature	Other	other
dikkat çekmek	VERB	838	meb|saha|tubitak|video|literature	Other	other
ihtiyacı olmak	VERB	838	meb|saha|tubitak|video|literature	Other	other
ifade etmek	VERB	837	meb|saha|tubitak|video|literature	Other	other
fark olunmak	VERB	836	meb|saha|tubitak|video|literature	Other	other
bir bakıma	NOUN	826	meb|saha|tubitak|video|literature	Other	other
acele etmek	VERB	817	meb|tubitak|video|literature	Other	other
haber vermek	VERB	817	meb|tubitak|video|literature	Other	other
kapı açmak	VERB	809	meb|saha|tubitak|video|literature	Other	other
doğal sayı	NOUN	801	meb|tubitak|literature	Time, Numbers & Measurement	numbers
geç kalmak	VERB	790	meb|saha|tubitak|video|literature	Time, Numbers & Measurement	time
aynı zamanda	NOUN	761	meb|saha|tubitak|video|literature	Other	other
hoşuna gitmek	VERB	724	saha|meb|video|tubitak|literature	Education & Language	idioms
tercih etmek	VERB	712	meb|saha|tubitak|video|literature	Other	other
soru sormak	VERB	708	meb|saha|tubitak|video|literature	Other	other
söz vermek	VERB	708	meb|saha|tubitak|video|literature	People & Relationships	responsibilities
resim yapmak	VERB	683	meb|saha|tubitak|video|literature	Arts, Media & Entertainment	handicrafts
ait olmak	VERB	671	meb|saha|tubitak|video|literature	Other	other
ele geçirmek	VERB	664	meb|tubitak|video|literature	Other	other
bağlı olmak	VERB	658	tubitak|meb|video|literature	Personality, Values & Behavior	loyalty
yemek yemek	VERB	658	meb|saha|tubitak|video|literature	Food & Nutrition	dishes
akla gelmek	VERB	652	meb|saha|tubitak|video|literature	Emotions & Mental Processes	intelligence and reasoning
zorda kalmak	VERB	647	meb|saha|tubitak|video|literature	Other	other
hoşça kal	NA	639	tubitak|meb|video|literature	Sound & Communication Phenomena	sounds
kusura bakmamak	VERB	634	tubitak|video|literature	Personality, Values & Behavior	forgiveness
iş yapmak	VERB	632	meb|saha|tubitak|video|literature	Other	other
yol bulmak	VERB	630	meb|saha|tubitak|video|literature	Other	other
bir an önce	NOUN	616	meb|saha|tubitak|video|literature	Time, Numbers & Measurement	time
el almak	VERB	612	meb|saha|tubitak|video|literature	Education & Language	idioms
nefes almak	VERB	608	meb|saha|tubitak|video|literature	Other	other
hoşça kal	VERB	597	meb|tubitak|video|literature	Other	other
plan yapmak	VERB	582	meb|saha|tubitak|video|literature	Other	other
ziyaret etmek	VERB	581	meb|saha|tubitak|video|literature	Other	other
deney yapmak	VERB	566	saha|meb|video|tubitak|literature	Science & Technology	experiments
ses çıkarmamak	VERB	556	meb|saha|tubitak|video|literature	Other	other
yok olmak	VERB	554	meb|saha|tubitak|video|literature	Other	other
fotoğraf çekmek	VERB	547	meb|saha|tubitak|video|literature	Other	other
araç gereç	NOUN	542	meb|saha|tubitak|video|literature	Objects, Tools & Physical Things	tools
bilgi vermek	VERB	541	saha|meb|video|tubitak|literature	Other	other
rahat etmek	VERB	540	meb|saha|tubitak|video|literature	Emotions & Mental Processes	emotions
yerine getirmek	VERB	539	meb|saha|tubitak|video|literature	People & Relationships	responsibilities
arkadaş olmak	VERB	538	meb|saha|tubitak|video|literature	People & Relationships	friendship
yer vermek	VERB	537	meb|saha|tubitak|video|literature	Education & Language	idioms
yerinde olmak	VERB	534	meb|saha|tubitak|video|literature	Other	other
hoşa gitmek	VERB	530	meb|saha|tubitak|video|literature	Emotions & Mental Processes	emotions
spor yapmak	VERB	530	saha|meb|video|tubitak|literature	Sports, Games & Recreation	sports
yol açmak	VERB	526	meb|saha|tubitak|video|literature	Other	other
başka biri	NOUN	519	meb|saha|tubitak|video|literature	Other	other
ele gelmek	VERB	515	meb|saha|tubitak|video|literature	Other	other
rica etmek	VERB	513	meb|saha|tubitak|video|literature	Other	other
yağmur yağmak	VERB	513	meb|saha|tubitak|video|literature	Earth, Geography & Natural Phenomena	meteorology
içi almamak	VERB	512	meb|saha|tubitak|video|literature	Education & Language	idioms
tamir etmek	VERB	511	meb|saha|tubitak|video|literature	Other	other
emin olmak	VERB	509	meb|tubitak|video|literature	Other	other
az sonra	NOUN	508	meb|tubitak|video|literature	Time, Numbers & Measurement	time
hazır olmak	VERB	494	meb|tubitak|video|literature	Other	other
vay canına	NOUN	492	meb|tubitak|video|literature	Other	other
hayal etmek	VERB	481	meb|saha|tubitak|video|literature	Other	other
şaka yapmak	VERB	476	meb|saha|tubitak|video|literature	Personality, Values & Behavior	behavior
karşı çıkmak	VERB	474	meb|saha|tubitak|video|literature	Education & Language	idioms
dua etmek	VERB	473	meb|saha|tubitak|video|literature	History, Politics & Religion	religion
yok etmek	VERB	473	meb|saha|tubitak|video|literature	Other	other
inşa etmek	VERB	470	meb|saha|tubitak|video|literature	Other	other
sohbet etmek	VERB	470	meb|saha|tubitak|video|literature	People & Relationships	friendship
davet etmek	VERB	463	meb|tubitak|video|literature	Other	other
tekrar etmek	VERB	463	meb|saha|tubitak|video|literature	Other	other
belli olmak	VERB	452	meb|saha|tubitak|video|literature	Other	other
yer bulmak	VERB	448	meb|saha|tubitak|video|literature	Other	other
engel olmak	VERB	446	meb|saha|tubitak|video|literature	Transportation, Travel & Safety	safety rules
kendine gelmek	VERB	442	meb|tubitak|video|literature	Education & Language	idioms
yol almak	VERB	442	meb|tubitak|video|literature	Other	other
tebrik etmek	VERB	441	meb|saha|tubitak|video|literature	Other	other
bir yanda	NOUN	432	meb|saha|tubitak|video|literature	Other	other
sebep olmak	VERB	430	meb|saha|tubitak|video|literature	Other	other
ilgi çekmek	VERB	426	meb|saha|tubitak|video|literature	Education & Language	idioms
başına gelmek	VERB	412	meb|saha|tubitak|video|literature	Education & Language	idioms
göç etmek	VERB	412	meb|saha|tubitak|video|literature	History, Politics & Religion	migration
ihtiyaç duymak	VERB	411	meb|saha|tubitak|video|literature	Other	other
satın almak	VERB	410	meb|saha|tubitak|video|literature	Personal Care & Consumer Life	shopping
